Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ADA,2021-12-03,1.721,1.548116,1.76,1.52
ADA,2021-12-04,1.557467,1.721,1.729724,1.518709
ADA,2021-12-05,1.422,1.557401,1.558831,1.214876
ADA,2021-12-06,1.3801,1.421906,1.436334,1.287559
ADA,2021-12-07,1.423048,1.380206,1.443024,1.2574
ADA,2021-12-08,1.379398,1.423045,1.480446,1.366233
ADA,2021-12-09,1.396121,1.379398,1.424301,1.341
ADA,2021-12-10,1.289973,1.397341,1.408922,1.288091
ADA,2021-12-11,1.211365,1.289932,1.333801,1.2074
ADA,2021-12-12,1.353139,1.211366,1.361376,1.1929
ADA,2021-12-13,1.347433,1.35335,1.415068,1.320684
ADA,2021-12-14,1.225025,1.347427,1.357404,1.199931
ADA,2021-12-15,1.2673,1.225025,1.284261,1.199849
ADA,2021-12-16,1.3114,1.267009,1.3315,1.204866
ADA,2021-12-17,1.239334,1.3114,1.330563,1.2365
ADA,2021-12-18,1.218033,1.239361,1.258289,1.184093
ADA,2021-12-19,1.242653,1.218033,1.266669,1.200962
ADA,2021-12-20,1.244377,1.242653,1.311385,1.241109
ADA,2021-12-21,1.237,1.244377,1.260346,1.2018
ADA,2021-12-22,1.28011,1.237077,1.289659,1.228083
ADA,2021-12-23,1.327489,1.28006,1.368062,1.276894
ADA,2021-12-24,1.4737,1.327555,1.490058,1.308
ADA,2021-12-25,1.392571,1.473836,1.490835,1.382
ADA,2021-12-26,1.453878,1.392579,1.460376,1.382
ADA,2021-12-27,1.45505,1.453844,1.467206,1.408957
ADA,2021-12-28,1.515253,1.455095,1.592731,1.45165
ADA,2021-12-29,1.3993,1.515253,1.539144,1.376495
ADA,2021-12-30,1.331352,1.399385,1.4372,1.3232
ADA,2021-12-31,1.3585,1.331352,1.378057,1.298746
ADA,2022-01-01,1.308127,1.3585,1.38183,1.2811
ADA,2022-01-02,1.379002,1.308127,1.379101,1.30536
ADA,2022-01-03,1.3782,1.379002,1.39105,1.342322
ADA,2022-01-04,1.318366,1.377903,1.378009,1.310476
